AgentKey,AgentType,TransactionSides,TotalSalesVolume,GCI
184663262.0,NON-REALTOR,1,435000.0,12180.0
184665088.0,REALTOR,1,945000.0,26460.0
184673105.0,REALTOR,3,2005000.0,56140.0
184676780.0,REALTOR,8,4518000.0,126504.0
185661112.0,REALTOR,4,1935000.0,54180.0
185678761.0,REALTOR,1,1375000.0,38500.0
186667934.0,REALTOR,2,1174300.0,32880.4
186689504.0,NON-REALTOR,1,440000.0,12320.0
186689504.0,REALTOR,2,1130000.0,31640.0
187681147.0,REALTOR,3,4525000.0,126700.0
187681612.0,REALTOR,2,1590000.0,44520.0
187685503.0,NON-REALTOR,1,355000.0,9940.0
187685503.0,REALTOR,4,1964837.0,55015.436
187685553.0,NON-REALTOR,1,420200.0,11765.6
187686392.0,REALTOR,1,565000.0,15820.0
187689674.0,NON-REALTOR,4,1483400.0,41535.200000000004
187689674.0,REALTOR,7,3848950.0,107770.6
187692108.0,REALTOR,1,231200.0,6473.6
187692111.0,REALTOR,2,658000.0,18424.0
187692112.0,REALTOR,2,996000.0,27888.0
188695364.0,REALTOR,3,1091325.0,30557.100000000002
188695616.0,REALTOR,5,2462000.0,68936.0
189025681.0,REALTOR,1,383000.0,10724.0
190353702.0,REALTOR,2,775000.0,21700.0
190362149.0,REALTOR,7,4726000.0,132328.0
190369042.0,REALTOR,7,4610999.0,129107.97200000001
191035384.0,REALTOR,1,1087548.0,30451.344
191036847.0,REALTOR,3,1484990.0,41579.72
191038717.0,REALTOR,6,4762000.0,133336.0
191046690.0,NON-REALTOR,1,565000.0,15820.0
191721292.0,REALTOR,13,7299400.0,204383.2
191722136.0,NON-REALTOR,1,195000.0,5460.0
191722136.0,REALTOR,6,3117000.0,87276.0
191730792.0,REALTOR,1,507000.0,14196.0
191731453.0,REALTOR,1,550000.0,15400.0
191733316.0,REALTOR,1,575000.0,16100.0
192418912.0,REALTOR,11,10382000.0,290696.0
192424518.0,REALTOR,1,360000.0,10080.0
193460297.0,REALTOR,1,865080.0,24222.24
193461719.0,REALTOR,2,3031000.0,84868.0
193805541.0,NON-REALTOR,1,514000.0,14392.0
195841505.0,REALTOR,1,1925000.0,53900.0
196867064.0,REALTOR,6,4627000.0,129556.0
196867633.0,REALTOR,8,3728500.0,104398.0
196870630.0,REALTOR,1,849000.0,23772.0
196872982.0,REALTOR,1,530000.0,14840.0
198227825.0,REALTOR,3,1458000.0,40824.0
198229882.0,REALTOR,1,925000.0,25900.0
198236169.0,REALTOR,1,593901.0,16629.228
198237233.0,REALTOR,2,1520000.0,42560.0
198594321.0,REALTOR,12,10635000.0,297780.0
198613263.0,NON-REALTOR,1,537900.0,15061.2
199985301.0,REALTOR,1,831250.0,23275.0
199990815.0,REALTOR,4,2275000.0,63700.0
199997686.0,NON-REALTOR,2,1155000.0,32340.0
199997686.0,REALTOR,2,1420600.0,39776.8
2004205111.0,REALTOR,1,3500.0,98.0
2004359591.0,REALTOR,2,2275000.0,63700.0
2004366648.0,REALTOR,1,435990.0,12207.72
2004366812.0,REALTOR,4,5590000.0,156520.0
2004367360.0,REALTOR,2,701000.0,19628.0
2004367658.0,NON-REALTOR,1,605000.0,16940.0
2004367658.0,REALTOR,2,934000.0,26152.0
2004367853.0,REALTOR,18,775000.0,21700.0
2004381053.0,REALTOR,2,1270000.0,35560.0
2004390433.0,REALTOR,1,589000.0,16492.0
2004397186.0,REALTOR,6,5598900.0,156769.2
2004399658.0,REALTOR,2,846000.0,23688.0
2004408801.0,REALTOR,2,2440000.0,68320.0
2004422236.0,REALTOR,1,402000.0,11256.0
2004431690.0,NON-REALTOR,1,400000.0,11200.0
2004431690.0,REALTOR,1,762500.0,21350.0
2004438588.0,REALTOR,7,5686500.0,159222.0
2004440220.0,REALTOR,4,1468500.0,41118.0
2004443032.0,REALTOR,2,1195000.0,33460.0
2004445797.0,NON-REALTOR,1,562000.0,15736.0
2004448013.0,REALTOR,1,504675.0,14130.9
2004448117.0,REALTOR,1,425000.0,11900.0
2004457911.0,REALTOR,3,680000.0,19040.0
2004467692.0,NON-REALTOR,4,2177300.0,60964.4
2004467692.0,REALTOR,4,2174950.0,60898.6
2004474608.0,REALTOR,6,4429500.0,124026.0
2004475314.0,NON-REALTOR,2,1055000.0,29540.0
2004485910.0,REALTOR,4,2332600.0,65312.8
2004486099.0,NON-REALTOR,1,460000.0,12880.0
2004486099.0,REALTOR,1,575000.0,16100.0
2004494363.0,REALTOR,2,1190000.0,33320.0
2004501548.0,REALTOR,4,2505750.0,70161.0
2004513959.0,REALTOR,1,905500.0,25354.0
2004546261.0,REALTOR,6,2186890.0,61232.92
2004559216.0,REALTOR,1,520000.0,14560.0
2004571305.0,REALTOR,1,497000.0,13916.0
2004573926.0,REALTOR,1,235000.0,6580.0
2004580956.0,REALTOR,1,535000.0,14980.0
2004582134.0,REALTOR,1,1150000.0,32200.0
2004585169.0,REALTOR,2,1065000.0,29820.0
2004602518.0,REALTOR,1,455000.0,12740.0
2004604000.0,REALTOR,1,1100000.0,30800.0
2004607165.0,REALTOR,2,1008000.0,28224.0
2004607378.0,REALTOR,1,1380000.0,38640.0
2004614778.0,REALTOR,3,2378000.0,66584.0
2004620015.0,REALTOR,2,617990.0,17303.72
2004620017.0,REALTOR,1,340900.0,9545.2
2004620018.0,NON-REALTOR,1,180000.0,5040.0
2004620018.0,REALTOR,1,348750.0,9765.0
2004635488.0,REALTOR,3,1952900.0,54681.200000000004
2004635618.0,REALTOR,5,2805000.0,78540.0
2004638441.0,NON-REALTOR,1,465000.0,13020.0
2004638441.0,REALTOR,1,563000.0,15764.0
2004642979.0,REALTOR,1,465000.0,13020.0
2004649740.0,REALTOR,1,2900000.0,81200.0
2004654631.0,REALTOR,2,2189000.0,61292.0
2004681854.0,REALTOR,1,475000.0,13300.0
2004698013.0,REALTOR,1,675000.0,18900.0
2004703055.0,REALTOR,1,410000.0,11480.0
2004705078.0,REALTOR,3,1868000.0,52304.0
2004706182.0,REALTOR,1,820000.0,22960.0
2004706892.0,REALTOR,2,1082500.0,30310.0
2004724143.0,REALTOR,11,5241800.0,146770.4
2004727107.0,REALTOR,1,368000.0,10304.0
2004746409.0,REALTOR,3,1515000.0,42420.0
2004750274.0,REALTOR,2,1610000.0,45080.0
2004761897.0,NON-REALTOR,1,550000.0,15400.0
2004761897.0,REALTOR,1,515000.0,14420.0
2004765027.0,REALTOR,1,735000.0,20580.0
2004774141.0,REALTOR,1,820000.0,22960.0
2004804541.0,REALTOR,3,1779900.0,49837.200000000004
2004810836.0,REALTOR,2,699990.0,19599.72
2004827217.0,NON-REALTOR,3,1699000.0,47572.0
2004827217.0,REALTOR,5,3552500.0,99470.0
2004827952.0,REALTOR,2,1125000.0,31500.0
2004840368.0,REALTOR,1,440000.0,12320.0
2004851409.0,REALTOR,4,1095000.0,30660.0
2004857057.0,REALTOR,2,856000.0,23968.0
2004858625.0,REALTOR,1,519000.0,14532.0
2004881166.0,REALTOR,6,2570999.0,71987.972
2004881580.0,REALTOR,3,2380000.0,66640.0
2004881766.0,NON-REALTOR,2,965000.0,27020.0
2004881766.0,REALTOR,2,1253000.0,35084.0
2004882735.0,REALTOR,1,552990.0,15483.720000000001
2004888781.0,REALTOR,1,258000.0,7224.0
2004897444.0,REALTOR,1,240000.0,6720.0
2004903674.0,REALTOR,3,1785000.0,49980.0
2004912749.0,REALTOR,3,1977900.0,55381.200000000004
2004923282.0,REALTOR,3,3955000.0,110740.0
2004923805.0,NON-REALTOR,1,375000.0,10500.0
2004924888.0,REALTOR,1,454990.0,12739.720000000001
2004929993.0,REALTOR,1,540000.0,15120.0
2004945305.0,REALTOR,6,3185400.0,89191.2
2004954492.0,REALTOR,1,403000.0,11284.0
2004971340.0,REALTOR,8,3337000.0,93436.0
2004972767.0,REALTOR,3,3895000.0,109060.0
2004975861.0,REALTOR,5,3557419.0,99607.732
2005005018.0,NON-REALTOR,1,415000.0,11620.0
2005020226.0,REALTOR,1,325000.0,9100.0
2005036164.0,REALTOR,1,465000.0,13020.0
2005077819.0,REALTOR,2,1005000.0,28140.0
2005078015.0,REALTOR,4,3165000.0,88620.0
2005100887.0,REALTOR,6,3314900.0,92817.2
2005103770.0,REALTOR,1,560000.0,15680.0
2005104678.0,REALTOR,1,299000.0,8372.0
2005113050.0,REALTOR,1,410500.0,11494.0
2005114762.0,REALTOR,1,735000.0,20580.0
2005121444.0,REALTOR,1,445000.0,12460.0
2005122074.0,REALTOR,2,2875000.0,80500.0
2005142679.0,REALTOR,8,7784000.0,217952.0
2005144592.0,REALTOR,6,436000.0,12208.0
2005167309.0,REALTOR,4,2937000.0,82236.0
2005167511.0,REALTOR,2,1185000.0,33180.0
2005171389.0,REALTOR,1,345000.0,9660.0
2005171817.0,REALTOR,1,260000.0,7280.0
2005172548.0,NON-REALTOR,1,450000.0,12600.0
2005194606.0,REALTOR,1,549000.0,15372.0
2005211847.0,REALTOR,2,1075000.0,30100.0
2005218932.0,REALTOR,2,1402000.0,39256.0
2005222516.0,REALTOR,1,585000.0,16380.0
2005234689.0,REALTOR,3,1275000.0,35700.0
2005242794.0,NON-REALTOR,4,1645000.0,46060.0
2005242794.0,REALTOR,7,4024000.0,112672.0
2005243682.0,REALTOR,4,2536500.0,71022.0
2005245366.0,REALTOR,1,530000.0,14840.0
2005250134.0,REALTOR,2,280000.0,7840.0
2005269943.0,REALTOR,1,450000.0,12600.0
2005303403.0,REALTOR,2,940000.0,26320.0
2005305882.0,REALTOR,1,544950.0,15258.6
2005312023.0,REALTOR,1,616000.0,17248.0
2005314122.0,REALTOR,2,1285000.0,35980.0
2005330151.0,REALTOR,3,1580500.0,44254.0
2005332128.0,NON-REALTOR,3,1375000.0,38500.0
2005332128.0,REALTOR,2,775000.0,21700.0
2005349994.0,REALTOR,2,885000.0,24780.0
2005352328.0,REALTOR,1,530000.0,14840.0
2005353028.0,REALTOR,6,2710450.0,75892.6
2005365777.0,REALTOR,3,2361500.0,66122.0
2005367285.0,NON-REALTOR,1,570000.0,15960.0
2005367285.0,REALTOR,2,1017000.0,28476.0
2005385277.0,REALTOR,3,1323000.0,37044.0
2005403508.0,REALTOR,4,1575500.0,44114.0
2005413234.0,REALTOR,4,1754000.0,49112.0
2005415210.0,REALTOR,1,435000.0,12180.0
2005443966.0,REALTOR,3,2768500.0,77518.0
2005454422.0,REALTOR,1,595000.0,16660.0
2005455337.0,REALTOR,1,729000.0,20412.0
2005488369.0,REALTOR,1,700000.0,19600.0
2005514896.0,REALTOR,2,1350000.0,37800.0
2005540678.0,REALTOR,2,1049950.0,29398.600000000002
2005543549.0,REALTOR,1,1723295.0,48252.26
2005544500.0,REALTOR,1,237500.0,6650.0
