AgentKey,AgentType,Year,TransactionSides,TotalSalesVolume,GCI
158951276.0,REALTOR,2024,1,395000.0,11850.0
158951276.0,REALTOR,2025,1,414000.0,12420.0
158952240.0,REALTOR,2024,1,420000.0,11760.0
158954257.0,REALTOR,2024,3,2095000.0,59490.0
158954257.0,REALTOR,2025,3,1450000.0,40600.0
160499139.0,REALTOR,2024,3,1822400.0,53247.2
160499139.0,REALTOR,2025,2,929129.0,26015.612
162343182.0,REALTOR,2024,2,1212000.0,36360.0
162343182.0,REALTOR,2025,1,268624.0,7521.472
162349760.0,NON-REALTOR,2024,1,600000.0,16800.0
162350610.0,REALTOR,2024,1,770000.0,21560.0
162350610.0,REALTOR,2025,1,605000.0,18150.0
162350657.0,NON-REALTOR,2025,2,1375000.0,39650.0
162672171.0,REALTOR,2025,2,435000.0,12615.0
162681164.0,REALTOR,2024,3,1654000.0,47872.0
163310031.0,REALTOR,2024,2,1310000.0,36680.0
163310031.0,REALTOR,2025,3,2413950.0,72418.5
163310274.0,REALTOR,2024,1,800000.0,22400.0
163315233.0,REALTOR,2024,1,312000.0,9360.0
163315233.0,REALTOR,2025,2,765000.0,22250.0
164284781.0,REALTOR,2024,5,1821000.0,54630.0
164284781.0,REALTOR,2025,1,510000.0,15300.0
164914632.0,REALTOR,2024,3,2283999.0,66719.97
164914632.0,REALTOR,2025,7,4367499.0,122774.97
164916601.0,NON-REALTOR,2024,1,610000.0,18300.0
167732985.0,REALTOR,2024,2,598000.0,17940.0
167732985.0,REALTOR,2025,1,299000.0,8970.0
168046813.0,REALTOR,2024,2,770000.0,23100.0
168670678.0,REALTOR,2024,6,5354000.0,157120.0
168670678.0,REALTOR,2025,1,570000.0,15960.0
169319822.0,REALTOR,2024,2,1250000.0,36500.0
169321334.0,REALTOR,2024,2,1992000.0,56710.0
169341245.0,REALTOR,2024,1,815000.0,22820.0
169347045.0,REALTOR,2024,3,1639800.0,48464.2
170308172.0,REALTOR,2024,5,3199000.0,92728.0
170310457.0,REALTOR,2024,1,460000.0,13800.0
170641513.0,REALTOR,2024,4,2433200.0,69463.6
170641513.0,REALTOR,2025,2,1195000.0,33460.0
170641650.0,REALTOR,2024,1,630000.0,18900.0
172547941.0,NON-REALTOR,2024,1,480000.0,13440.0
172547941.0,NON-REALTOR,2025,1,234900.0,6577.2
173833826.0,NON-REALTOR,2024,1,1300000.0,36400.0
173833826.0,NON-REALTOR,2025,4,2554000.0,74872.0
174475954.0,NON-REALTOR,2024,1,3500000.0,98000.0
174475954.0,NON-REALTOR,2025,3,2455000.0,70410.0
174475954.0,REALTOR,2025,2,4335000.0,130050.0
